Episode,Outcome,Avg_Performance,SmartMovePlayer1
762,2,0.40,0.70
763,1,0.36,0.70
764,2,0.40,0.70
765,2,0.44,0.70
766,2,0.44,0.70
767,None,0.44,0.70
768,2,0.48,0.70
769,1,0.46,0.70
770,None,0.46,0.70
771,None,0.44,0.70
772,None,0.42,0.70
773,1,0.38,0.70
774,2,0.38,0.70
775,2,0.38,0.70
776,2,0.38,0.70
777,2,0.40,0.70
778,2,0.40,0.70
779,2,0.42,0.70
780,None,0.44,0.70
781,2,0.44,0.70
782,1,0.44,0.70
783,1,0.42,0.70
784,2,0.42,0.70
785,2,0.44,0.70
786,2,0.46,0.70
787,2,0.50,0.70
788,2,0.50,0.70
789,2,0.50,0.70
790,None,0.48,0.70
791,2,0.50,0.70
792,2,0.50,0.70
Increment at Episode 793: SmartMovePlayer1 increased to 0.80
793,2,0.52,0.80
794,1,-1.00,0.80
795,2,0.00,0.80
796,2,0.33,0.80
797,2,0.50,0.80
798,2,0.60,0.80
799,2,0.67,0.80
800,1,0.43,0.80
801,2,0.50,0.80
802,2,0.56,0.80
803,None,0.50,0.80
804,None,0.45,0.80
805,1,0.33,0.80
806,2,0.38,0.80
807,2,0.43,0.80
808,2,0.47,0.80
809,None,0.44,0.80
810,2,0.47,0.80
811,2,0.50,0.80
812,2,0.53,0.80
813,None,0.50,0.80
814,1,0.43,0.80
815,2,0.45,0.80
816,2,0.48,0.80
817,None,0.46,0.80
818,2,0.48,0.80
819,1,0.42,0.80
820,2,0.44,0.80
821,None,0.43,0.80
822,1,0.38,0.80
823,None,0.37,0.80
824,2,0.39,0.80
825,2,0.41,0.80
826,2,0.42,0.80
827,1,0.38,0.80
828,2,0.40,0.80
829,2,0.42,0.80
830,1,0.38,0.80
831,2,0.39,0.80
832,1,0.36,0.80
833,1,0.33,0.80
834,1,0.29,0.80
835,None,0.29,0.80
836,1,0.26,0.80
837,2,0.27,0.80
838,1,0.24,0.80
839,2,0.26,0.80
840,None,0.26,0.80
841,1,0.23,0.80
842,2,0.24,0.80
843,None,0.24,0.80
844,1,0.24,0.80
845,None,0.22,0.80
846,2,0.22,0.80
847,None,0.20,0.80
848,1,0.16,0.80
849,2,0.16,0.80
850,2,0.20,0.80
851,1,0.16,0.80
852,1,0.12,0.80
853,1,0.10,0.80
854,1,0.08,0.80
855,1,0.08,0.80
856,1,0.04,0.80
857,1,0.00,0.80
858,2,0.00,0.80
859,1,-0.02,0.80
860,2,-0.02,0.80
861,None,-0.04,0.80
862,2,-0.04,0.80
863,None,-0.04,0.80
864,2,0.00,0.80
865,2,0.00,0.80
866,2,0.00,0.80
867,2,0.02,0.80
868,None,0.00,0.80
869,2,0.04,0.80
870,2,0.04,0.80
871,None,0.04,0.80
872,2,0.08,0.80
873,2,0.10,0.80
874,None,0.08,0.80
875,2,0.08,0.80
876,2,0.08,0.80
877,2,0.12,0.80
878,2,0.12,0.80
879,2,0.12,0.80
880,2,0.16,0.80
881,2,0.16,0.80
882,2,0.20,0.80
883,2,0.24,0.80
884,2,0.28,0.80
885,None,0.28,0.80
886,None,0.30,0.80
887,2,0.30,0.80
888,2,0.34,0.80
889,2,0.34,0.80
890,2,0.36,0.80
891,2,0.40,0.80
892,None,0.38,0.80
893,2,0.40,0.80
894,2,0.44,0.80
895,None,0.44,0.80
896,None,0.42,0.80
897,None,0.42,0.80
898,2,0.46,0.80
899,2,0.46,0.80
900,2,0.46,0.80
901,2,0.50,0.80
Increment at Episode 902: SmartMovePlayer1 increased to 0.90
902,2,0.54,0.90
903,2,1.00,0.90
904,2,1.00,0.90
905,2,1.00,0.90
906,2,1.00,0.90
907,2,1.00,0.90
908,2,1.00,0.90
909,None,0.86,0.90
910,2,0.88,0.90
911,2,0.89,0.90
912,2,0.90,0.90
913,2,0.91,0.90
914,2,0.92,0.90
915,2,0.92,0.90
916,2,0.93,0.90
917,2,0.93,0.90
918,2,0.94,0.90
919,2,0.94,0.90
920,1,0.83,0.90
921,None,0.79,0.90
