Episode,Outcome,Avg_Performance,SmartMovePlayer1
678,2,0.70,0.80
679,2,0.70,0.80
680,1,0.67,0.80
681,1,0.63,0.80
Increment at Episode 682: SmartMovePlayer1 increased to 0.90
682,1,0.60,0.90
683,1,-1.00,0.90
684,1,-1.00,0.90
685,2,-0.33,0.90
686,None,-0.25,0.90
687,2,0.00,0.90
688,2,0.17,0.90
689,2,0.29,0.90
690,1,0.12,0.90
691,None,0.11,0.90
692,2,0.20,0.90
693,2,0.27,0.90
694,2,0.33,0.90
695,2,0.38,0.90
696,None,0.36,0.90
697,2,0.40,0.90
698,1,0.31,0.90
699,None,0.29,0.90
700,2,0.33,0.90
701,2,0.37,0.90
702,None,0.35,0.90
703,2,0.38,0.90
704,None,0.36,0.90
705,2,0.39,0.90
706,None,0.38,0.90
707,2,0.40,0.90
708,2,0.42,0.90
709,2,0.44,0.90
710,2,0.46,0.90
711,1,0.41,0.90
712,1,0.37,0.90
713,2,0.39,0.90
714,2,0.41,0.90
715,1,0.36,0.90
716,2,0.38,0.90
717,2,0.40,0.90
718,2,0.42,0.90
719,2,0.43,0.90
720,None,0.42,0.90
721,2,0.44,0.90
722,2,0.45,0.90
723,2,0.46,0.90
724,2,0.48,0.90
725,2,0.49,0.90
726,2,0.50,0.90
727,1,0.47,0.90
728,None,0.46,0.90
729,2,0.47,0.90
730,None,0.46,0.90
731,2,0.47,0.90
732,2,0.48,0.90
733,1,0.48,0.90
Increment at Episode 734: SmartMovePlayer1 increased to 1.00
734,2,0.52,1.00
735,2,1.00,1.00
736,2,1.00,1.00
737,None,0.67,1.00
738,None,0.50,1.00
739,None,0.40,1.00
740,2,0.50,1.00
741,None,0.43,1.00
742,2,0.50,1.00
743,2,0.56,1.00
744,None,0.50,1.00
745,2,0.55,1.00
746,1,0.42,1.00
747,2,0.46,1.00
748,2,0.50,1.00
749,2,0.53,1.00
750,2,0.56,1.00
751,2,0.59,1.00
752,1,0.50,1.00
753,1,0.42,1.00
754,2,0.45,1.00
755,2,0.48,1.00
756,1,0.41,1.00
757,None,0.39,1.00
758,1,0.33,1.00
759,2,0.36,1.00
760,1,0.31,1.00
761,1,0.26,1.00
762,None,0.25,1.00
763,None,0.24,1.00
764,1,0.20,1.00
765,2,0.23,1.00
766,1,0.19,1.00
767,2,0.21,1.00
768,1,0.18,1.00
769,1,0.14,1.00
770,1,0.11,1.00
771,1,0.08,1.00
772,None,0.08,1.00
773,1,0.05,1.00
774,None,0.05,1.00
775,2,0.07,1.00
776,2,0.10,1.00
777,2,0.12,1.00
778,None,0.11,1.00
779,1,0.09,1.00
780,1,0.07,1.00
781,None,0.06,1.00
782,2,0.08,1.00
783,2,0.10,1.00
784,2,0.12,1.00
785,None,0.10,1.00
786,2,0.10,1.00
787,None,0.10,1.00
788,1,0.08,1.00
789,2,0.10,1.00
790,1,0.06,1.00
791,2,0.08,1.00
792,2,0.08,1.00
793,2,0.08,1.00
794,None,0.08,1.00
795,2,0.08,1.00
796,1,0.08,1.00
797,2,0.08,1.00
798,2,0.08,1.00
799,2,0.08,1.00
800,None,0.06,1.00
801,2,0.06,1.00
802,2,0.10,1.00
803,1,0.10,1.00
804,1,0.06,1.00
805,2,0.06,1.00
806,2,0.10,1.00
807,2,0.12,1.00
808,2,0.16,1.00
809,2,0.16,1.00
810,2,0.20,1.00
811,1,0.20,1.00
812,1,0.18,1.00
813,2,0.20,1.00
814,2,0.24,1.00
815,2,0.24,1.00
816,2,0.28,1.00
817,None,0.26,1.00
818,2,0.30,1.00
819,2,0.34,1.00
820,2,0.38,1.00
821,2,0.42,1.00
822,1,0.40,1.00
823,1,0.40,1.00
824,2,0.42,1.00
825,1,0.38,1.00
826,1,0.34,1.00
827,None,0.32,1.00
828,None,0.32,1.00
829,2,0.36,1.00
830,2,0.40,1.00
831,2,0.42,1.00
832,None,0.40,1.00
833,2,0.40,1.00
834,2,0.40,1.00
835,1,0.38,1.00
836,2,0.38,1.00
837,1,0.36,1.00
838,2,0.40,1.00
839,2,0.40,1.00
840,2,0.44,1.00
841,2,0.44,1.00
842,2,0.44,1.00
843,1,0.40,1.00
844,2,0.42,1.00
845,2,0.42,1.00
846,2,0.46,1.00
847,1,0.42,1.00
848,2,0.42,1.00
849,2,0.42,1.00
850,2,0.44,1.00
851,2,0.44,1.00
852,2,0.44,1.00
853,2,0.48,1.00
854,1,0.48,1.00
855,2,0.48,1.00
856,2,0.48,1.00
857,2,0.48,1.00
858,2,0.48,1.00
859,2,0.48,1.00
860,2,0.48,1.00
Increment at Episode 861: SmartMovePlayer1 increased to 1.00
861,2,0.52,1.00
862,2,1.00,1.00
863,2,1.00,1.00
864,2,1.00,1.00
865,2,1.00,1.00
866,None,0.80,1.00
867,1,0.50,1.00
868,2,0.57,1.00
869,1,0.38,1.00
870,2,0.44,1.00
871,None,0.40,1.00
872,None,0.36,1.00
873,2,0.42,1.00
874,2,0.46,1.00
875,1,0.36,1.00
876,2,0.40,1.00
877,2,0.44,1.00
878,2,0.47,1.00
879,2,0.50,1.00
880,2,0.53,1.00
881,2,0.55,1.00
882,2,0.57,1.00
883,2,0.59,1.00
